match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
1307478,6,New Zealand,Scotland,male,2022,2022-07-29,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,New Zealand,bat,MS Chapman,DH Mclean,Ryan Milne,DA Haggo,Wayne Noon,New Zealand,102,NA,NA,NA,NA,New Zealand tour of Scotland,2,NA,NA,NA
1317903,6,India,West Indies,male,2022,2022-07-29,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,KD Karthik,LS Reifer,N Duguid,GO Brathwaite,RB Richardson,India,68,NA,NA,NA,PA Gustard,India tour of West Indies,1,NA,NA,NA
1321298,6,Switzerland,Czech Republic,male,2022,2022-07-30,Kerava National Cricket Ground,Kerava,Switzerland,bat,Faheem Nazir,M Jameson,SB Ravindra,NA,K Gallagher,Czech Republic,NA,7,NA,NA,S Kuchimanchi,ICC Men's T20 World Cup Sub Regional Europe Qualifier,18,NA,NA,NA
1321299,6,Luxembourg,Slovenia,male,2022,2022-07-30,Tikkurila Cricket Ground,Vantaa,Luxembourg,bat,Muhammad Siddiqui,J Jensen,S Fernando,NA,K Gallagher,Luxembourg,5,NA,NA,NA,A Paleker,ICC Men's T20 World Cup Sub Regional Europe Qualifier,19,NA,NA,NA
1323295,6,Zimbabwe,Bangladesh,male,2022,2022-07-30,Harare Sports Club,Harare,Zimbabwe,bat,Sikandar Raza,I Chabi,L Rusere,C Phiri,AJ Pycroft,Zimbabwe,17,NA,NA,NA,F Mutizwa,Bangladesh tour of Zimbabwe,1,NA,NA,NA
1276915,6,South Africa,England,male,2022,2022-07-31,"The Rose Bowl, Southampton",Southampton,England,field,T Shamsi,AG Wharf,MJ Saggers,M Burns,BC Broad,South Africa,90,NA,NA,NA,DJ Millns,South Africa tour of England,3,NA,NA,NA
1323296,6,Zimbabwe,Bangladesh,male,2022,2022-07-31,Harare Sports Club,Harare,Zimbabwe,bat,Mosaddek Hossain,F Mutizwa,I Chabi,L Rusere,AJ Pycroft,Bangladesh,NA,7,NA,NA,C Phiri,Bangladesh tour of Zimbabwe,2,NA,NA,NA
1321301,6,Bulgaria,Czech Republic,male,2022,2022-07-31,Tikkurila Cricket Ground,Vantaa,Bulgaria,bat,S Wickramasekara,J Jensen,S Kuchimanchi,NA,K Gallagher,Czech Republic,NA,4,NA,NA,S Fernando,ICC Men's T20 World Cup Sub Regional Europe Qualifier,NA,NA,NA,NA
1321302,6,Guernsey,France,male,2022,2022-07-31,Kerava National Cricket Ground,Kerava,Guernsey,bat,LT Bichard,A Paleker,M Jameson,NA,K Gallagher,Guernsey,56,NA,NA,NA,SB Ravindra,ICC Men's T20 World Cup Sub Regional Europe Qualifier,NA,NA,NA,NA
1321303,6,Luxembourg,Switzerland,male,2022,2022-07-31,Tikkurila Cricket Ground,Vantaa,Luxembourg,bat,Jai Sinh,S Fernando,S Kuchimanchi,NA,K Gallagher,Luxembourg,7,NA,NA,NA,J Jensen,ICC Men's T20 World Cup Sub Regional Europe Qualifier,NA,NA,NA,NA
1321304,6,Norway,Austria,male,2022,2022-07-31,Kerava National Cricket Ground,Kerava,Norway,bat,Iqbal Hossain,A Paleker,SB Ravindra,NA,K Gallagher,Austria,NA,9,NA,NA,M Jameson,ICC Men's T20 World Cup Sub Regional Europe Qualifier,NA,D/L,NA,NA
1317904,6,India,West Indies,male,2022,2022-08-01,"Warner Park, Basseterre, St Kitts",Basseterre,West Indies,field,OC McCoy,GO Brathwaite,LS Reifer,PA Gustard,RB Richardson,West Indies,NA,5,NA,NA,N Duguid,India tour of West Indies,2,NA,NA,NA
1317905,6,West Indies,India,male,2022,2022-08-02,"Warner Park, Basseterre, St Kitts",Basseterre,India,field,SA Yadav,N Duguid,PA Gustard,LS Reifer,RB Richardson,India,NA,7,NA,NA,GO Brathwaite,India tour of West Indies,3,NA,NA,NA
1323297,6,Zimbabwe,Bangladesh,male,2022,2022-08-02,Harare Sports Club,Harare,Zimbabwe,bat,RP Burl,C Phiri,L Rusere,F Mutizwa,AJ Pycroft,Zimbabwe,10,NA,NA,NA,I Chabi,Bangladesh tour of Zimbabwe,3,NA,NA,NA
1303315,6,South Africa,Ireland,male,2022,2022-08-03,"County Ground, Bristol",Bristol,South Africa,bat,RR Hendricks,MJ Saggers,R Black,PA Reynolds,Phil Whitticase,South Africa,21,NA,NA,NA,M Burns,South Africa tour of England,1,NA,NA,NA
1310901,6,New Zealand,Netherlands,male,2022,2022-08-04,"Sportpark Westvliet, The Hague",The Hague,New Zealand,bat,NA,N Bathi,Rizwan Akram,NA,Wayne Noon,New Zealand,16,NA,NA,NA,Adriaan van den Dries,New Zealand tour of Netherlands,1,NA,NA,NA
1310902,6,Netherlands,New Zealand,male,2022,2022-08-05,"Sportpark Westvliet, The Hague",The Hague,Netherlands,bat,NA,Adriaan van den Dries,Rizwan Akram,NA,Wayne Noon,New Zealand,NA,8,NA,NA,N Bathi,New Zealand tour of Netherlands,2,NA,NA,NA
1303316,6,South Africa,Ireland,male,2022,2022-08-05,"County Ground, Bristol",Bristol,Ireland,field,WD Parnell,M Burns,PA Reynolds,MJ Saggers,Phil Whitticase,South Africa,44,NA,NA,NA,R Black,South Africa tour of England,2,NA,NA,NA
